"chromosome","begin","end","width","strand","unique_id","gene_id","gene_name","gene_type","gene_region","Nr_of_region","Total_nr_of_region","window_number","baseMean","log2FoldChange","lfcSE","stat","pvalue","pSlidingWindows","pSlidingWindows.adj","p_adj_IHW","significant"
"chr1",15847806,15847856,50,"+","ENSG00000065526.12:5UTR0002W00587","ENSG00000065526.12","SPEN","protein_coding","5UTR",2,18,587,4.40505976759799,6.39535635952239,4.08647268552585,1.56500651091454,0.058790691333755,0.176372074001265,0.275841899494444,1,FALSE
"chr1",15847826,15847876,50,"+","ENSG00000065526.12:5UTR0002W00588","ENSG00000065526.12","SPEN","protein_coding","5UTR",2,18,588,5.08276127030538,6.60137326205654,3.90695608499108,1.68964613843916,0.0455478367074272,0.182191346829709,0.278876842416345,1,FALSE
"chr1",15847846,15847896,50,"+","ENSG00000065526.12:5UTR0002W00589","ENSG00000065526.12","SPEN","protein_coding","5UTR",2,18,589,9.0424675083443,4.42422155559994,2.66452729275167,1.66041517669389,0.0484154795394634,0.242077397697317,0.334662419471931,0.284428412408339,FALSE
"chr1",15847866,15847916,50,"+","ENSG00000065526.12:5UTR0002W00590","ENSG00000065526.12","SPEN","protein_coding","5UTR",2,18,590,14.8029302813571,5.15592305354371,2.40025206541009,2.14807566582088,0.0158538724986174,0.0792693624930872,0.191059307826549,0.100055798458991,FALSE
"chr1",15847886,15847936,50,"+","ENSG00000065526.12:5UTR0002W00591","ENSG00000065526.12","SPEN","protein_coding","5UTR",2,18,591,14.4032233776622,8.10095121715321,2.7474279042584,2.94855825137288,0.00159629982995542,0.00798149914977708,0.123251721564585,0.0318559834486717,FALSE
"chr1",15847906,15847956,50,"+","ENSG00000065526.12:5UTR0002W00592","ENSG00000065526.12","SPEN","protein_coding","5UTR",2,18,592,12.5374778000866,7.90070087108277,3.11497607293441,2.53636005095861,0.00560057517821912,0.0224023007128765,0.163797790844881,0.0459474557106595,FALSE
"chr1",15847926,15847976,50,"+","ENSG00000065526.12:5UTR0002W00593","ENSG00000065526.12","SPEN","protein_coding","5UTR",2,18,593,5.08276127030538,6.60137326205654,3.90695608499108,1.68964613843916,0.0455478367074272,0.136643510122282,0.24151110924805,1,FALSE
"chr1",15847986,15848036,50,"+","ENSG00000065526.12:5UTR0002W00596","ENSG00000065526.12","SPEN","protein_coding","5UTR",2,18,596,9.28220592111463,6.0316283605179,3.1254651998751,1.92983379266515,0.0268137174760974,0.0536274349521948,0.173053100097683,0.0792454881250833,FALSE
"chr1",15848006,15848056,50,"+","ENSG00000065526.12:5UTR0002W00597","ENSG00000065526.12","SPEN","protein_coding","5UTR",2,18,597,9.28220592111463,6.0316283605179,3.1254651998751,1.92983379266515,0.0268137174760974,0.0536274349521948,0.173053100097683,0.0747006582424827,FALSE
"chr1",15931690,15931740,50,"+","ENSG00000065526.12:CDS0014W04781","ENSG00000065526.12","SPEN","protein_coding","CDS",14,18,4781,5.22012979513096,5.17585214683522,3.22797266504085,1.60343741534432,0.0544190580455062,0.108838116091012,0.215524155446291,1,FALSE
"chr1",15931710,15931760,50,"+","ENSG00000065526.12:CDS0014W04782","ENSG00000065526.12","SPEN","protein_coding","CDS",14,18,4782,7.71815359638291,7.18781006772517,3.07976096539671,2.33388569713211,0.00980085393695928,0.0294025618108778,0.165146252138822,1,FALSE
"chr1",15931750,15931800,50,"+","ENSG00000065526.12:CDS0014W04784","ENSG00000065526.12","SPEN","protein_coding","CDS",14,18,4784,4.50830499644199,3.9606823579665,3.31521161695195,1.1946997101826,0.116102187869752,0.232204375739504,0.32503839646167,1,FALSE
"chr1",15932010,15932060,50,"+","ENSG00000065526.12:CDS0014W04797","ENSG00000065526.12","SPEN","protein_coding","CDS",14,18,4797,3.11051291452437,2.76933802626866,4.12985446823166,0.670565524178011,0.25124867569151,0.753746027074529,0.829242398122382,1,FALSE
"chr1",15932030,15932080,50,"+","ENSG00000065526.12:CDS0014W04798","ENSG00000065526.12","SPEN","protein_coding","CDS",14,18,4798,3.86059389945556,4.74330407475489,3.94617257721072,1.20200117504937,0.114681536413494,0.458726145653976,0.540097692237824,1,FALSE
